Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
BD56-838,-0.14,0.229,-1.082,0.582,-0.743,-0.112,0.94,-0.274,0.236,-0.071,-0.046,0.374,0.072,-0.029,0.179,0.287,0.316,0.965,0.13,0.289,-0.058,0.233,-0.685,0.445,-0.406,-0.165,0.119,-0.859,0.516,-0.498,0.33,0.988,-1.433,0.257,-0.536,0.357,0.332,-0.217,-0.064,0.002,-0.35,0.936,-2.949,-0.263,-1.826,-0.101,0.236,-0.279,0.466,-0.155,1
BD56-841,-0.023,0.122,-1.071,0.556,-0.515,-0.047,0.732,2.059,0.208,1.39,-0.18,0.115,-0.109,0.05,-0.02,-0.027,0.436,0.115,0.415,0.075,0.107,-0.005,-0.191,0.342,-0.2,-0.091,0.341,-0.558,0.349,-0.29,-0.37,0.53,-1.045,0.556,-0.483,-0.126,0.363,-0.386,0.221,-0.246,1.117,-0.108,-0.293,-0.105,-1.049,0.098,0.389,-0.916,0.403,-0.498,1
BD56-843,0.086,0.059,-0.809,0.466,-0.424,-0.098,0.66,1.105,-0.218,0.614,-0.179,0.062,0.717,0.082,0.602,0.022,0.864,-1.598,0.449,-1.122,-0.072,0.176,-0.952,0.256,-0.495,-0.201,0.265,-1.093,0.539,-0.543,-0.3,0.301,-1.048,0.29,-0.768,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.17,0.45,-0.644,0.455,-0.387,1
BD56-848,-0.14,0.229,-1.082,0.582,-0.743,-0.092,0.908,-1.035,0.189,-0.66,-0.022,0.414,0.256,-0.044,0.253,-0.227,0.841,0.335,0.287,0.275,-0.043,0.215,-0.68,0.441,-0.397,-0.165,0.119,-0.859,0.516,-0.498,0.33,0.988,-1.433,0.257,-0.536,0.304,0.355,-0.425,-0.077,-0.204,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
BD56-850,-0.019,0.145,-1.389,0.518,-0.723,-0.324,0.671,-0.049,0.584,0.241,-0.168,0.212,-0.07,0.237,0.112,-0.693,0.066,1.183,0.591,0.587,0.071,-0.022,-0.302,0.386,-0.273,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.141,0.325,0.121,0.38,-0.028,1
BD56-854,0.067,0.023,-0.771,0.482,-0.524,-0.402,0.554,0.197,-0.058,0.029,-0.191,-0.112,0.596,0.113,0.472,0.057,0.424,-0.874,0.326,-0.878,-0.074,0.208,-0.827,0.272,-0.453,-0.246,0.697,-1.267,0.609,-0.688,0.154,0.831,-1.25,0.386,-0.56,-0.151,0.254,-0.256,0.159,-0.239,-0.069,-0.111,-1.276,0.675,-1.582,0.077,0.374,-0.649,0.44,-0.313,1
BD56-858,-0.298,0.256,-0.984,0.755,-0.499,-0.082,0.116,0.297,0.172,-0.115,-0.116,-0.072,-0.362,0.165,-0.105,-0.082,0.908,0.152,0.585,0.421,0.188,0.099,0.006,0.242,0.137,0.007,-0.009,-0.266,0.424,-0.332,-0.229,0.854,-2.304,0.491,-1.152,0.305,0.033,-1.14,-0.079,-0.586,-0.186,0.309,-0.799,0.467,-0.427,-0.147,0.327,-0.492,0.505,-0.303,1
BD56-860,-0.14,0.229,-1.082,0.582,-0.743,-0.112,0.94,-0.274,0.236,-0.071,-0.022,0.414,0.256,-0.044,0.253,-0.06,0.76,1.201,0.167,0.786,-0.048,0.231,-0.761,0.51,-0.435,-0.165,0.119,-0.859,0.516,-0.498,0.33,0.988,-1.433,0.257,-0.536,0.045,0.175,-1.103,0.233,-0.53,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
BD56-862,-0.251,0.265,-0.943,0.73,-0.413,-0.402,0.391,0.021,0.404,0.034,-0.168,0.077,-0.488,0.29,-0.277,-0.327,1.045,0.239,0.617,0.567,0.073,0.127,-0.182,0.285,-0.075,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.117,0.04,-0.272,0.192,-0.099,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD56-864,-0.14,0.229,-1.082,0.582,-0.743,-0.112,0.94,-0.274,0.236,-0.071,-0.022,0.414,0.256,-0.044,0.253,-0.199,0.688,1.332,0.321,0.84,-0.106,0.176,-0.766,0.42,-0.518,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.113,0.278,-0.331,0.517,-0.243,1
BD56-865,-0.15,0.088,-0.299,0.626,-0.172,-0.375,0.374,-0.14,0.362,0.35,-0.152,-0.083,-0.543,0.391,-0.315,0.487,0.091,-0.648,-0.518,-0.848,0.039,0.158,-0.001,0.302,-0.026,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.034,0.293,-0.408,0.466,-0.146,1
BD56-866,-0.15,0.088,-0.299,0.626,-0.172,-0.551,0.519,-0.766,0.385,-0.204,-0.001,-0.028,-0.366,0.342,-0.091,0.6,0.016,-1.613,-0.435,-1.527,0.039,0.158,-0.001,0.302,-0.026,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,-0.072,0.128,-1.003,0.153,-0.683,-0.544,0.688,-1.645,0.994,-0.498,0.013,0.287,-0.102,0.477,0.053,1
BD56-871,-0.15,0.088,-0.299,0.626,-0.172,-0.551,0.519,-0.766,0.385,-0.204,-0.152,-0.083,-0.543,0.391,-0.315,0.6,0.016,-1.613,-0.435,-1.527,0.009,0.173,-0.16,0.324,-0.12,-0.098,0.436,-1.084,0.524,-0.718,-0.245,-0.017,-0.274,0.385,-0.329,-0.077,0.148,-0.14,0.161,-0.188,0.884,0.38,-2.628,0.045,-1.414,-0.008,0.313,-0.323,0.488,-0.277,1
BD56-872,-0.14,0.229,-1.082,0.582,-0.743,-0.112,0.94,-0.274,0.236,-0.071,-0.022,0.414,0.256,-0.044,0.253,-0.129,0.841,0.079,0.383,0.192,0.023,0.159,-0.661,0.438,-0.354,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
BD56-874,-0.115,0.234,-0.901,0.62,-0.553,-0.173,1.011,-1.256,0.424,-0.591,0.043,0.28,0.161,0.012,0.115,0.017,0.555,1.069,0.391,0.981,0.035,0.04,-0.495,0.491,-0.274,-0.201,0.265,-1.093,0.539,-0.543,0.08,0.485,1.177,0.139,0.797,0.168,0.033,-0.02,0.131,-0.015,-0.47,-0.402,-2.075,1.27,-0.98,-0.154,0.375,-0.833,0.468,-0.419,1
BD56-877,-0.14,0.229,-1.082,0.582,-0.743,-0.273,1.168,-1.549,0.501,-0.734,-0.022,0.414,0.256,-0.044,0.253,-0.194,0.835,0.301,0.174,0.217,-0.075,0.26,-0.724,0.487,-0.46,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD56-879,0.086,0.059,-0.809,0.466,-0.424,0.123,0.479,1.888,-0.247,1.307,-0.101,0.013,0.715,0.011,0.535,0.122,0.632,-1.242,0.082,-0.851,-0.068,0.207,-0.833,0.252,-0.464,-0.273,0.551,-1.124,0.621,-0.555,-0.134,0.414,-0.834,0.366,-0.805,0.006,0.124,-0.208,-0.105,0.028,-0.172,0.474,-2.987,0.551,-2.384,0.066,0.355,-0.736,0.447,-0.348,1
BD56-880,-0.019,0.145,-1.389,0.518,-0.723,-0.394,0.467,-0.417,0.667,0.058,-0.168,0.212,-0.07,0.237,0.112,-0.693,0.066,1.183,0.591,0.587,0.038,0.04,-0.252,0.316,-0.23,-0.228,0.615,-1.127,0.614,-0.569,0.071,0.54,-1.079,0.314,-0.733,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD56-883,-0.019,0.145,-1.389,0.518,-0.723,-0.298,1.04,0.209,0.518,0.517,-0.055,0.111,-0.06,0.201,0.161,-0.595,0.489,1.071,0.447,0.432,0.052,-0.041,-0.25,0.354,-0.19,-0.089,0.465,-1.393,0.543,-0.81,0.021,0.636,-0.362,0.48,0.03,0.01,0.102,-0.139,0.197,-0.04,1.05,0.302,-3.656,-0.259,-3.242,-0.109,0.305,-1.346,0.534,-0.749,1
BD56-887,-0.033,0.037,-1.228,0.554,-0.623,-0.014,0.634,0.678,0.15,0.28,-0.124,-0.022,0.474,0.03,0.35,0.435,0.62,1.192,0.163,1.112,0.016,0.059,0.085,0.346,0.125,-0.089,0.465,-1.393,0.543,-0.81,0.226,0.836,-0.727,0.252,-0.357,0.062,0.021,-0.184,0.191,0.002,0.787,0.478,-1.405,-0.452,-1.657,-0.098,0.324,-1.259,0.527,-0.714,1
BD56-888,-0.15,0.088,-0.299,0.626,-0.172,-0.551,0.519,-0.766,0.385,-0.204,-0.152,-0.083,-0.543,0.391,-0.315,0.6,0.016,-1.613,-0.435,-1.527,0.039,0.158,-0.001,0.302,-0.026,-0.089,0.554,-1.001,0.503,-0.63,-0.36,-0.417,-0.46,0.225,-0.447,-0.096,0.19,-0.083,0.16,-0.208,0.884,0.38,-2.628,0.045,-1.414,-0.008,0.313,-0.323,0.488,-0.277,1
BD56-890,-0.247,0.218,-0.862,0.684,-0.427,-0.286,0.419,0.049,0.305,0.054,-0.148,0.058,-0.344,0.193,-0.178,0.074,0.372,0.886,0.586,1.083,0.034,0.005,-0.168,0.354,-0.132,-0.218,0.218,-0.994,0.511,-0.574,0.482,0.344,0.194,-0.258,-0.15,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.14,0.46,-0.393,0.415,-0.278,1
BD56-894,-0.157,0.28,-1.261,0.557,-0.784,-0.151,1.057,-0.562,0.36,-0.115,0.057,0.366,0.254,-0.116,0.186,-0.227,0.841,0.335,0.287,0.275,-0.061,0.215,-0.633,0.423,-0.382,-0.273,0.551,-1.124,0.621,-0.555,-0.217,0.552,-0.708,0.624,-0.501,0.041,0.138,-0.286,-0.048,-0.077,-0.069,-0.111,-1.276,0.675,-1.582,0.139,0.306,-0.666,0.414,-0.202,1
BD57-003,-0.214,0.244,-0.976,0.744,-0.316,-0.229,0.688,1.036,0.233,0.758,-0.19,-0.132,-0.074,0.299,-0.002,0.239,0.696,-0.933,0.261,-0.455,0.138,0.128,0.05,0.254,0.087,-0.201,0.265,-1.093,0.539,-0.543,-0.041,0.622,-0.7,-0.074,-0.551,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.178,0.452,-0.801,0.442,-0.411,1
BD57-006,-0.273,0.199,-1.061,0.757,-0.471,-0.413,0.142,0.628,0.354,0.344,-0.168,0.077,-0.488,0.29,-0.277,-0.112,0.966,-0.611,0.512,0.177,0.142,0.085,-0.075,0.289,0.033,-0.183,0.682,-1.295,0.591,-0.624,0.127,0.902,0.117,0.179,0.237,-0.14,0.155,0.065,0.228,-0.026,1.24,0.365,1.044,-0.205,1.171,0.068,0.359,-0.881,0.491,-0.439,1
BD57-009,-0.282,0.217,-0.915,0.722,-0.402,0.075,0.481,1.206,0.463,0.891,-0.168,0.077,-0.488,0.29,-0.277,-0.26,1.056,0.53,0.521,0.533,0.1,0.119,-0.165,0.259,-0.047,-0.247,0.207,-0.976,0.587,-0.505,-0.317,0.435,0.154,0.193,0.118,0.088,-0.01,-0.138,0.253,0.141,-0.47,-0.402,-2.075,1.27,-0.98,-0.197,0.362,-0.535,0.478,-0.351,1
BD57-010,-0.114,0.172,-1.158,0.584,-0.715,-0.113,0.703,-1.187,0.14,-0.538,-0.065,0.479,-0.005,0.117,0.163,-0.307,0.609,-0.085,0.382,0.066,-0.01,0.127,-0.613,0.422,-0.258,-0.192,0.336,-1.246,0.52,-0.651,0.464,0.431,1.02,-0.242,0.546,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.209,0.455,-0.84,0.435,-0.511,1
BD57-014,-0.25,0.212,-0.881,0.765,-0.345,-0.172,0.457,0.527,0.205,0.142,-0.034,0.142,-0.379,0.207,-0.148,-0.28,0.736,-1.156,0.343,-0.747,0.093,-0.002,0.019,0.178,0.054,-0.189,0.584,-1.172,0.463,-0.725,0.595,0.112,0.055,0.11,0.453,-0.09,0.356,-0.996,0.247,-0.702,0.584,0.507,-3.807,-0.031,-2.581,0.041,0.361,-0.093,0.396,0.021,1
BD57-015,-0.131,0.192,-1.075,0.661,-0.489,-0.147,-0.081,1.079,0.325,1.023,-0.156,-0.189,-0.069,0.217,0.022,0.291,0.489,-0.144,-0.112,0.04,0.209,0.032,-0.504,0.283,-0.296,-0.242,0.346,-0.947,0.531,-0.548,-0.105,0.206,-0.038,0.15,-0.171,0.177,0.128,-0.019,0.107,0.11,-0.47,-0.402,-2.075,1.27,-0.98,-0.189,0.4,-0.788,0.432,-0.457,1
BD57-018,-0.286,0.228,-1.022,0.756,-0.485,-0.211,0.41,0.773,0.397,0.641,-0.099,0.043,-0.131,0.24,-0.066,-0.288,0.896,-0.436,0.681,0.107,0.071,0.074,-0.054,0.274,-0.01,-0.225,0.261,-1.273,0.501,-0.733,0.047,0.664,0.015,0.1,0.138,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.208,0.485,-0.332,0.367,-0.188,1
BD57-019,-0.033,0.037,-1.228,0.554,-0.623,-0.193,0.803,1.301,0.313,0.943,-0.18,0.115,-0.109,0.05,-0.02,0.209,0.536,0.479,0.181,0.116,0.121,0.037,0.088,0.294,-0.044,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD57-020,-0.239,0.239,-1.156,0.706,-0.506,-0.307,-0.035,1.665,0.341,1.16,-0.135,-0.03,-0.306,0.164,-0.126,0.426,0.181,0.632,-0.096,0.624,0.141,0.058,-0.188,0.28,-0.04,-0.201,0.265,-1.093,0.539,-0.543,-0.431,0.035,-0.032,0.034,0.001,0.177,0.128,-0.019,0.107,0.11,-0.47,-0.402,-2.075,1.27,-0.98,-0.274,0.417,-0.391,0.493,-0.215,1
BD57-023,-0.112,0.122,-0.113,0.537,-0.08,-0.559,0.492,-0.421,0.906,0.03,-0.161,-0.068,-0.185,0.413,-0.038,0.487,0.091,-0.648,-0.518,-0.848,0.074,0.21,-0.327,0.316,-0.165,-0.098,0.436,-1.084,0.524,-0.718,0.362,0.318,0.517,-0.114,0.273,-0.09,0.045,0.086,0.19,-0.029,0.95,0.022,-0.303,0.124,-0.094,-0.03,0.322,-0.394,0.493,-0.269,1
BD57-025,-0.282,0.217,-0.915,0.722,-0.402,-0.293,0.734,-0.334,0.596,-0.249,-0.149,0.035,-0.544,0.291,-0.256,-0.26,1.056,0.53,0.521,0.533,0.124,0.085,-0.027,0.271,0.048,-0.194,0.396,-1.309,0.455,-0.782,-0.093,-0.122,0.132,-0.09,-0.353,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
BD57-026,-0.271,0.336,-1.183,0.72,-0.585,-0.0,0.543,-0.433,0.117,-0.155,-0.156,0.014,-0.077,0.304,-0.044,-0.185,0.814,-0.495,0.672,-0.121,0.054,0.177,-0.124,0.29,0.032,-0.124,0.311,-0.666,0.497,-0.197,-0.182,0.267,-1.338,0.327,-0.827,0.106,-0.016,0.004,0.113,0.145,-0.47,-0.402,-2.075,1.27,-0.98,-0.195,0.327,-0.404,0.443,-0.27,1
BD57-028,-0.112,0.122,-0.113,0.537,-0.08,-0.309,0.482,-0.916,0.77,-0.323,-0.121,-0.141,-0.022,0.281,0.108,0.185,-0.266,-0.095,-0.201,-0.76,0.117,0.185,-0.032,0.312,0.091,-0.273,0.551,-1.124,0.621,-0.555,-0.281,0.255,0.006,0.362,-0.173,-0.01,0.225,-0.235,0.076,-0.027,-0.172,0.474,-2.987,0.551,-2.384,-0.001,0.404,-0.5,0.44,-0.201,1
BD57-029,-0.239,0.239,-1.156,0.706,-0.506,-0.479,0.489,0.171,0.252,-0.133,-0.115,-0.048,-0.163,0.067,-0.027,0.205,0.489,0.081,-0.195,0.113,0.105,0.09,0.019,0.266,0.058,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.069,0.28,-0.235,0.472,-0.074,1
BD57-030,-0.209,0.159,-1.015,0.732,-0.452,-0.044,-0.103,0.939,0.218,0.186,-0.079,0.083,-0.196,0.152,0.07,-0.538,0.489,-0.313,0.265,-0.264,0.076,0.017,-0.148,0.341,0.063,-0.273,0.551,-1.124,0.621,-0.555,-0.005,0.957,-0.396,0.285,-0.19,0.041,0.138,-0.286,-0.048,-0.077,-0.172,0.474,-2.987,0.551,-2.384,-0.024,0.354,-0.585,0.495,-0.271,1
BD57-032,-0.244,0.329,-0.942,0.714,-0.327,0.11,0.383,0.551,-0.046,0.02,0.036,0.041,0.252,0.104,0.335,-0.218,0.565,-0.743,0.559,-0.16,0.072,0.045,0.187,0.352,0.246,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD57-034,-0.186,0.225,-0.897,0.705,-0.393,-0.044,-0.103,0.939,0.218,0.186,-0.079,0.083,-0.196,0.152,0.07,-0.224,0.674,0.042,0.287,0.12,0.042,-0.029,0.003,0.318,0.112,-0.268,0.451,-1.126,0.546,-0.502,-0.005,0.957,-0.396,0.285,-0.19,0.041,0.138,-0.286,-0.048,-0.077,-0.172,0.474,-2.987,0.551,-2.384,0.126,0.237,-0.5,0.377,-0.179,1
BD57-035,-0.176,0.343,-1.501,0.576,-0.892,-0.278,1.166,-0.672,0.453,-0.056,0.11,-0.019,0.223,0.044,0.237,-0.153,0.302,1.65,0.545,1.115,-0.038,0.214,-0.448,0.42,-0.255,-0.225,0.261,-1.273,0.501,-0.733,0.387,-0.128,-0.799,-0.098,-0.702,0.196,0.086,-0.076,0.108,0.131,-0.172,0.474,-2.987,0.551,-2.384,-0.134,0.418,-0.325,0.449,-0.269,1
BD57-037,-0.016,0.229,-1.455,0.531,-0.666,-0.379,0.207,0.468,0.641,0.364,-0.111,0.082,0.248,0.001,0.191,0.167,0.79,1.27,0.396,0.864,-0.166,0.139,-0.407,0.451,-0.299,-0.165,0.119,-0.859,0.516,-0.498,0.488,0.16,-1.061,-0.318,-0.496,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
BD57-041,-0.209,0.159,-1.015,0.732,-0.452,-0.044,-0.103,0.939,0.218,0.186,-0.147,0.103,-0.369,0.147,-0.069,-0.2,0.54,0.914,0.317,0.615,0.049,0.049,-0.174,0.317,-0.009,-0.098,0.436,-1.084,0.524,-0.718,0.417,-0.083,0.05,0.311,0.393,-0.094,0.178,-0.083,0.203,-0.114,0.884,0.38,-2.628,0.045,-1.414,0.035,0.302,-0.343,0.475,-0.233,1
BD57-042,-0.155,0.05,-1.287,0.555,-0.691,0.05,0.425,1.687,0.139,1.067,-0.021,-0.118,-0.131,-0.06,0.079,-0.199,0.574,0.437,0.429,0.601,0.114,-0.054,0.041,0.346,0.091,-0.193,0.223,-0.814,0.549,-0.384,-0.034,0.503,0.128,-0.281,-0.03,0.106,-0.016,0.004,0.113,0.145,0.077,0.133,-3.05,0.66,-2.012,-0.159,0.518,-0.882,0.445,-0.467,1
BD57-046,-0.214,0.478,-0.957,0.705,-0.412,-0.356,0.728,-0.482,0.291,-0.278,-0.156,-0.189,-0.069,0.217,0.022,0.208,0.002,0.061,0.244,-0.337,0.144,0.174,-0.051,0.241,0.015,-0.208,0.334,-1.796,0.555,-0.928,0.073,0.435,-0.744,-0.023,-0.024,0.162,0.145,0.038,0.192,0.278,-0.349,0.499,-3.418,0.97,-1.813,-0.175,0.48,-0.838,0.449,-0.497,1
BD57-051,-0.019,0.145,-1.389,0.518,-0.723,-0.123,0.688,-0.79,0.506,-0.491,-0.055,0.111,-0.06,0.201,0.161,-0.715,-0.201,0.614,0.246,-0.178,0.053,0.028,-0.046,0.292,-0.056,-0.201,0.265,-1.093,0.539,-0.543,0.205,0.296,0.196,0.178,0.34,0.168,0.033,-0.02,0.131,-0.015,-0.47,-0.402,-2.075,1.27,-0.98,-0.137,0.434,-0.476,0.432,-0.288,1
BD57-052,-0.183,0.159,-1.542,0.595,-0.878,-0.36,0.416,0.048,0.584,0.306,0.025,0.383,-0.141,-0.01,-0.027,-0.187,0.15,0.636,0.161,0.371,-0.076,0.132,-0.505,0.363,-0.224,-0.186,0.509,-0.338,0.612,-0.051,0.116,0.695,-0.704,0.389,0.028,-0.117,0.135,-0.409,0.105,-0.347,0.361,0.844,-1.773,-0.142,-1.459,0.045,0.295,-0.236,0.472,-0.122,1
BD57-053,-0.239,0.2,-1.008,0.719,-0.496,-0.044,-0.103,0.939,0.218,0.186,-0.079,0.083,-0.196,0.152,0.07,-0.093,0.642,1.217,0.478,0.827,0.081,-0.069,-0.367,0.303,-0.139,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.004,0.311,-0.108,0.46,-0.002,1
BD57-054,-0.031,0.165,-1.35,0.547,-0.673,-0.324,0.671,-0.049,0.584,0.241,-0.043,0.048,0.35,0.215,0.394,-0.785,-0.182,0.425,0.666,0.149,-0.022,-0.229,0.201,0.386,0.018,-0.232,0.321,-1.181,0.541,-0.667,0.431,0.973,-0.232,0.047,-0.074,0.003,0.211,-0.932,0.127,-0.618,-0.28,1.483,-2.73,0.795,-1.077,-0.106,0.298,-0.32,0.545,-0.151,1
BD57-056,-0.209,0.159,-1.015,0.732,-0.452,0.042,-0.103,0.714,0.302,0.114,-0.079,0.083,-0.196,0.152,0.07,-0.244,-0.235,-0.983,0.439,-0.298,0.178,-0.095,-0.259,0.281,-0.078,-0.201,0.265,-1.093,0.539,-0.543,0.047,0.664,0.015,0.1,0.138,0.144,0.168,-0.031,0.114,0.089,-0.47,-0.402,-2.075,1.27,-0.98,-0.174,0.407,-0.669,0.461,-0.342,1
BD57-057,-0.257,0.314,-1.034,0.629,-0.5,-0.157,0.075,1.675,0.405,1.222,0.09,0.09,-0.121,0.208,0.035,-0.336,0.705,-0.505,0.608,-0.183,0.111,0.1,-0.234,0.311,-0.061,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.211,0.44,-0.871,0.461,-0.528,1
BD57-058,-0.031,0.165,-1.35,0.547,-0.673,-0.326,0.621,-0.473,0.792,0.075,-0.168,0.212,-0.07,0.237,0.112,-0.462,0.121,1.345,0.361,0.774,0.034,0.032,-0.146,0.351,-0.087,-0.343,0.335,-0.72,0.676,-0.563,-0.379,0.837,-1.228,0.516,-0.728,0.076,0.482,-0.273,0.185,-0.129,0.228,0.851,-0.416,0.47,-0.134,-0.028,0.24,-0.495,0.45,-0.15,1
BD57-059,-0.108,0.241,-1.422,0.507,-0.773,-0.4,0.663,1.942,0.514,1.445,0.014,0.078,0.297,0.152,0.372,-0.748,0.33,0.637,0.591,0.204,0.084,0.006,-0.223,0.333,-0.193,-0.201,0.265,-1.093,0.539,-0.543,0.118,0.344,-0.205,-0.27,-0.244,0.124,0.048,-0.331,0.198,-0.181,0.142,-0.225,-0.725,0.74,-0.692,-0.175,0.48,-0.838,0.449,-0.497,1
BD57-060,-0.131,0.153,-0.927,0.673,-0.479,-0.082,0.116,0.297,0.172,-0.115,-0.079,0.083,-0.196,0.152,0.07,-0.093,0.642,1.217,0.478,0.827,0.108,0.127,-0.328,0.329,-0.051,-0.203,0.482,-0.463,0.622,-0.101,0.116,0.695,-0.704,0.389,0.028,-0.122,0.151,-0.566,0.155,-0.469,0.094,1.202,-0.332,0.61,0.295,0.048,0.351,-0.371,0.483,-0.191,1
BD57-065,-0.209,0.159,-1.015,0.732,-0.452,0.026,0.1,1.307,0.135,0.368,-0.112,0.141,-0.201,0.234,0.047,-0.224,0.674,0.042,0.287,0.12,0.07,0.091,-0.151,0.286,-0.001,-0.228,0.615,-1.127,0.614,-0.569,-0.112,0.362,-0.754,0.517,-0.389,-0.154,0.123,-0.159,0.189,-0.14,0.654,0.485,-0.048,0.16,-0.332,0.035,0.314,-0.705,0.489,-0.343,1
BD57-068,-0.225,0.132,-1.14,0.742,-0.502,-0.044,-0.103,0.939,0.218,0.186,-0.079,0.083,-0.196,0.152,0.07,-0.545,0.487,0.783,0.205,0.585,0.023,0.068,-0.101,0.299,-0.003,-0.281,0.594,-1.403,0.612,-0.713,-0.005,0.957,-0.396,0.285,-0.19,0.078,0.247,-0.287,0.065,-0.071,-0.224,0.558,-0.957,0.676,-0.813,0.088,0.331,-0.619,0.447,-0.212,1
BD57-069,-0.235,0.277,-0.986,0.749,-0.338,-0.402,0.391,0.021,0.404,0.034,-0.168,0.077,-0.488,0.29,-0.277,-0.341,0.772,-0.981,0.679,-0.51,0.127,0.091,-0.13,0.256,-0.052,-0.196,0.259,-1.345,0.608,-0.695,-0.028,0.414,-1.495,-0.18,-0.816,0.196,0.086,-0.076,0.108,0.131,-0.401,0.583,-1.388,1.095,-0.243,-0.18,0.375,-0.532,0.48,-0.318,1
BD57-070,-0.157,0.28,-1.261,0.557,-0.784,-0.334,0.924,-0.371,0.434,0.078,0.008,0.163,0.215,0.099,0.407,-0.209,0.867,0.657,0.501,0.426,-0.057,0.13,-0.569,0.359,-0.246,-0.225,0.261,-1.273,0.501,-0.733,0.598,0.109,-0.598,-0.171,-0.519,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
